DISTRITO,CÓDIGO,NOMBRE,EDUCACIÓN,DEPENDENCIA,RESOLUCIÓN,FECHA DE RESOLUCIÓN,ZONA,DIRECCIÓN,ESTADO,https://sigee.sie.gob.bo/#
COCHABAMBA 2,80980031,ELIZARDO PEREZ,Regular,Fiscal,R.A. 2433/2009,19/10/2009,VILLA ALTO SEBASTIAN,CALLE LA JOYA ESQUINA BELLA VISTA,Abierta,.
COCHABAMBA 2,80980030,JUAN JOSE TORREZ,Regular,Fiscal,3162/2000,25/7/2000,VILLA ALTO SEBASTIAN,CALLE LA JOYA ESQUINA BELLA VISTA,Abierta,.
COCHABAMBA 1,80980077,SAN JOSE A,Regular,Fiscal,R.A. 3410/2016,30/11/2016,VILLA ANTOFAGASTA,CALLE 12 DE JUNIO,Abierta,.
COCHABAMBA 1,80980235,ANTOFAGASTA B,Regular,Fiscal,R.A. 1229/2009,25/6/2009,VILLA ANTOFAGASTA,CALLE 12 DE JUNIO,Abierta,.
COCHABAMBA 1,80980311,21 DE SEPTIEMBRE,Regular,Fiscal,R.A. 1236/2009,25/6/2009,VILLA BARRIENTOS,URBANIZACION VILLA BARRIENTOS,Abierta,.
COCHABAMBA 1,80980295,RENE BARRIENTOS ORTUÑO C,Regular,Fiscal,R.A. 5261/2018,23/11/2018,VILLA BARRIENTOS,URBANIZACION VILLA BARRIENTOS,Abierta,.
COCHABAMBA 1,80980088,ANTOFAGASTA A,Regular,Fiscal,3048/2000,24/7/2000,VILLA BUSCH,CARACOLES Y D'ORBIGNI S/N,Abierta,.
COCHABAMBA 1,80980393,ALBERT EINSTEIN,Regular,Privada,R.A. 6146/2024,27/12/2024,VILLA BUSCH,C. ADRIAN PATIÑO ESQUINA 12 DE JUNIO,Abierta,.
COCHABAMBA 1,80980089,LITORAL,Regular,Fiscal,R.A. 01028/2009,29/5/2009,VILLA BUSCH,CARACOLES Y D'ORBIGNI S/N,Abierta,.
COCHABAMBA 1,80980327,SAN JOSE,Regular,Privada,R.A. 2770/2023,1/8/2023,VILLA BUSCH NORTE,ANTONIO GONZALES,Abierta,.
COCHABAMBA 2,80980597,JOSE RIOS ESCOBAR,Regular,Fiscal,R.A. 776/2017,28/3/2017,VILLA BUSH,AV. CAPITAN USTARIZ Y CALLE COCHABAMBA,Abierta,.
COCHABAMBA 2,80980048,COCHABAMBA C,Regular,Fiscal,R.A. 2370/2018,28/5/2018,VILLA BUSH,AVENIDA CAPITAN USTARIZ S/N,Abierta,.
COCHABAMBA 2,80980045,SAUL MENDOZA,Regular,Fiscal,R.A. 2206/2009,28/9/2009,VILLA BUSH,AV. CAPITAN USTARIZ Y CALLE COCHABAMBA,Abierta,.
COCHABAMBA 2,80980046,GUTIERREZ MARISCAL,Regular,Fiscal,1958/2000,13/7/2000,VILLA BUSH,AVENIDA CAPITAN USTARIZ S/N,Abierta,.
COCHABAMBA 1,80980418,NUEVO CONOCER,Regular,Privada,0294/01,6/4/2001,VILLA CANDELARIA,VILLA CANDELARIA,Abierta,.
COCHABAMBA 1,80980352,ITALO BOLIVIANO,Regular,Privada,R.A. 0564/2019,2/9/2019,VILLA CORONILLA,AV. MANCO KAPAC Nro 1070,Abierta,.
COCHABAMBA 2,80980118,EDUARDO LOPEZ,Regular,Fiscal,R.A. 1382/2022,26/4/2022,VILLA EDUARDO LOPEZ,FINAL PANAMERICANA INGRESO A ZOFRACO,Abierta,.
COCHABAMBA 2,80980268,NORDICO BOLIVIANO,Regular,Fiscal,R.A. 0666/2019,31/10/2019,VILLA EUCALIPTUS,VILLA EUCALIPTUS ZONA ALALAY,Abierta,.
COCHABAMBA 2,80980111,VENJANMIN,Regular,Fiscal,R.A. 757/2012,11/4/2012,VILLA EUCALIPTUS,VILLA EUCALIPTUS ZONA ALALAY,Abierta,.
COCHABAMBA 2,80980259,ANDRES BELLO,Regular,Fiscal,R.A. 1853/2009,1/9/2009,VILLA FELICIDAD,AVENIDA REPUBLICA FINAL,Abierta,.
COCHABAMBA 2,80980141,JORGE CABRERA ACUÑA,Regular,Fiscal,2254/99,21/12/1999,VILLA FELICIDAD,AVENIDA REPUBLICA FINAL,Abierta,.
COCHABAMBA 2,80980140,OSCAR ALFARO SECUNDARIO,Regular,Fiscal,R.A. 2394/2009,16/10/2009,VILLA FELICIDAD,AVENIDA REPUBLICA FINAL,Abierta,.
COCHABAMBA 2,80980260,OSCAR ALFARO INTERMEDIO,Regular,Fiscal,CIERRE DEFINITIVO R.A. 2185/2023-20-06-2023,1/1/1900,VILLA FELICIDAD,AVENIDA REPUBLICA FINAL,Cerrada,.
COCHABAMBA 1,80980341,PAULO VI,Regular,Privada,R.A. 170/2024,16/1/2024,VILLA GALINDO,CALLE FRANCISCO VIEDMA Nro 567,Abierta,.
COCHABAMBA 2,80980309,JUAN XXIII INTERNADO,Regular,Convenio,.,1/1/1900,VILLA GRANADO,.,Cerrada,.
COCHABAMBA 1,80980452,MONTESSORI GONZAGA,Regular,Privada,R.A. 048/2020,4/2/2020,VILLA GRANADO,CALLE ALBERTO ACHA FIGUEROA Y MONTAÑO S/N,Abierta,.
COCHABAMBA 1,80980406,MARIA AUXILIADORA DE CRISTO REY A,Regular,Privada,1356/96,19/8/1996,VILLA INGAVI,AVENIDA HERNANDO DE SOTO ESQ. DIEGO DE ALMAGRO,Abierta,.
COCHABAMBA 1,80980407,MARIA AUXILIADORA DE CRISTO REY B,Regular,Convenio,1299/98,8/5/1998,VILLA INGAVI,AVENIDA HERNANDO DE SOTO ESQ. DIEGO DE ALMAGRO,Cerrada,.
COCHABAMBA 1,80980412,SAN JOSE B,Regular,Privada,2278/2007,22/10/2007,VILLA INGAVI,BARTOLOME DE LAS CASAS S/N,Cerrada,.
COCHABAMBA 2,80980691,SAN PEDRO B,Regular,Fiscal,R.A 18/2024,2/1/2024,VILLA ISRAEL,OTB. ARBOLITOS SAN PEDRO DE MARANATA,Abierta,.
COCHABAMBA 2,80980110,VICTOR CABRERA LOZADA,Regular,Fiscal,R.A. 2198/2009,28/9/2009,VILLA LORETO,NICASIO RIOS 568,Abierta,.
COCHABAMBA 2,80980107,MARIA EUGENIA TORREZ DE GUZMAN,Regular,Fiscal,R.A. 3209/2011,7/12/2011,VILLA LORETO,ZONA VILLA LORETO MANUEL VIA,Abierta,.
COCHABAMBA 2,80980106,LORETO,Regular,Fiscal,R.A. 5396/2024,3/12/2024,VILLA LORETO,ZONA VILLA LORETO MANUEL VIA,Abierta,.
COCHABAMBA 2,80980109,MARCELO QUIROGA SANTA CRUZ,Regular,Fiscal,R.A. 2395/2009,19/10/2009,VILLA LORETO,NICASIO RIOS 568,Abierta,.
COCHABAMBA 2,80980299,SERGIO ALMARAZ PAZ,Regular,Fiscal,R.A. 1849/2009,1/9/2009,VILLA LORETO,NICASIO RIOS 568,Abierta,.
COCHABAMBA 1,80980059,CARMEN ORRUEL DE VERDUGUEZ,Regular,Fiscal,R.A. 01047/2009,29/5/2009,VILLA MOSCU,AVENIDA MONTEAGUDO FINAL,Abierta,.
COCHABAMBA 1,80980278,MELCHOR GUZMAN QUITON,Regular,Fiscal,R.A. 1375/2017,23/5/2017,VILLA MOSCU,AVENIDA MONTEAGUDO FINAL,Abierta,.
COCHABAMBA 1,80980058,LIA RIVERA DE GUZMAN,Regular,Fiscal,R.A. 01018/2009,28/5/2009,VILLA MOSCU,AVENIDA MONTEAGUDO FINAL,Abierta,.
COCHABAMBA 2,80980253,VIRGEN DE GUADALUPE,Regular,Fiscal,R.A. 2770/2016,7/10/2016,VILLA PAGADOR,MACHACAMARCA Y SAN FELIPE DE AUSTRIA,Abierta,.
COCHABAMBA 2,80980251,ORURO,Regular,Fiscal,R.A. 2769/2016,7/10/2016,VILLA PAGADOR,MACHACAMARCA Y SAN FELIPE DE AUSTRIA,Abierta,.
COCHABAMBA 2,80980252,SEBASTIAN PAGADOR,Regular,Fiscal,R.A. 2921/2016,12/10/2016,VILLA PAGADOR,MACHACAMARCA Y SAN FELIPE DE AUSTRIA,Abierta,.
COCHABAMBA 2,80980554,PENTECOSTAL DE BOLIVIA,Regular,Privada,R.A. 1770/2010,20/8/2010,VILLA PAGADOR,AV. MACHACAMARCA,Abierta,.
COCHABAMBA 2,80980302,VICTOR PAZ ESTENSSORO,Regular,Fiscal,R.A. 285/2019,7/3/2019,VILLA SAN ANDRES,VILLA SAN ANDRES,Abierta,.
COCHABAMBA 2,80980220,SAN ANDRES,Regular,Fiscal,R.A. 2389/2009,15/10/2009,VILLA SAN ANDRES,VILLA SAN ANDRES,Abierta,.
COCHABAMBA 2,80980572,SAN PEDRO,Regular,Fiscal,R.A. 0018/2013,7/1/2013,VILLA SAN PEDRO,CALLE INNOMINADA,Abierta,.
COCHABAMBA 2,80980270,NUEVA VERA CRUZ,Regular,Fiscal,R.A. 0087/2013,15/1/2013,VILLA SANTA VERA C,AVENIDA PETROLERA KM 7,Abierta,.
COCHABAMBA 2,80980248,SAN FRANCISCO I,Regular,Fiscal,R.A. 1895/2009,9/9/2009,VILLA SEBASTIAN,PASAJE MOROCHATA S/N,Abierta,.
COCHABAMBA 2,80980249,SAN FRANCISCO II,Regular,Fiscal,R.A. 1894/2009,9/9/2009,VILLA SEBASTIAN,PASAJE MOROCHATA S/N,Abierta,.
COCHABAMBA 2,80980678,GRAN TUNARI II,Regular,Fiscal,R.A.  5970/2022,1/12/2022,VILLA SEBASTIAN PAGADOR,AVENIDA PISIGA - FRENTE A LA UNIDAD EDUCATIVA GRAN TUNARI,Abierta,.
COCHABAMBA 2,80980458,LIBERTAD,Regular,Fiscal,R.A. 6057/2024,19/12/2024,VILLA URKUPIÑA,AVENIDA JUJUY,Abierta,.
COCHABAMBA 2,80980642,EUSTAQUIO MENDEZ ARENAS,Alternativa y Especial,Fiscal,R.A. 0663/2019,29/10/2019,VILLA URKUPIÑA,AVENIDA JUJUY,Abierta,.
COCHABAMBA 2,80980266,SANTA LUISA DE MARILLAC,Regular,Convenio,324,3/4/1995,VILLA VENEZUELA,AV. SIGLO XX S/N,Abierta,.
COCHABAMBA 2,80980265,SANTA ELIZABETH SETON,Regular,Convenio,0018/2001,8/1/2001,VILLA VENEZUELA,AV. SIGLO XX S/N,Abierta,.
COCHABAMBA 2,80980402,TERESA HINOJOSA CAPRIROLO,Regular,Fiscal,R.A. 1847/2009,1/9/2009,VILLA VICTORIA,VILLA VICTORIA,Abierta,.
COCHABAMBA 2,80980570,ANA MARIA ROMERO DE CAMPERO,Regular,Fiscal,R.A. 0613/2012,16/3/2012,VILLA VICTORIA,VILLA VICTORIA,Abierta,.
COCHABAMBA 2,80980271,ALCIDES ARGUEDAS A,Regular,Fiscal,R.A. 1525/2015,2/6/2015,waka playa,final panamericana av. tamborada s/n,Abierta,.
COCHABAMBA 2,80980038,6 DE AGOSTO,Regular,Fiscal,R.A. 0671/2016,7/4/2016,waka playa,final panamericana av. tamborada s/n,Abierta,.
COCHABAMBA 1,80980414,BOLIVIANO JAPONES,Regular,Fiscal,R.A. 01027/2009,29/5/2009,WARA WARA,PACATA ALTA,Abierta,.
COCHABAMBA 1,80980473,JAPON,Regular,Fiscal,078/2006,17/1/2006,WARA WARA,PACATA ALTA,Cerrada,.
COCHABAMBA 2,80980285,BUENAS NUEVAS B,Regular,Fiscal,R.A. 1852/2009,13/5/2009,WAYRA K ASSA,AV. SUECIA Nro 1170,Abierta,.
COCHABAMBA 2,80980003,BUENAS NUEVAS A,Regular,Fiscal,R.A. 2212/2009,30/9/2009,WAYRA K ASSA,AV. SUECIA Nro 1170,Abierta,.
COCHABAMBA 1,80980455,RINCONCITO DE LUZ,Regular,Privada,R.A. 033/2020,27/1/2020,ZONA HIPODROMO,CALLE SAN LORENZO Nº 825,Abierta,.
COCHABAMBA 2,80980006,OCTAVIO CAMPERO ECHAZU,Regular,Fiscal,R.A. 759/2012,2/4/2012,ZONA SUD OESTE,AZIRUMARCA,Abierta,.
COCHABAMBA 2,80980689,COLINAS DE PASBOL,Regular,Fiscal,R.A. 140/2024,11/1/2024,ZONA SUDESTE,OTB COLINAS DE PASBOL,Abierta,.
COCHABAMBA 2,80980524,MADRE DE LA DIVINA PROVIDENCIA,Regular,Convenio,0013/2008,2/1/2008,ZONA SUR CIUDAD DE COCHABAMBA,CALLE RIO BERMEJO - S/N- VILLA ARMONIA - ZONA SUR,Abierta,.
COCHABAMBA 2,80980480,MINERO SAN JUAN,Regular,Fiscal,R.A. 0641/2019,22/10/2019,.,ECIA. USPHA - USPHA,Abierta,.
COCHABAMBA 2,80980129,RENE BARRIENTOS ORTUÑO B,Regular,Fiscal,R.A. 2196/2009,28/9/2009,.,ECIA. USPHA - USPHA,Abierta,.
COCHABAMBA 2,80980587,RENE BARRIENTOS ORTUÑO C,Regular,Fiscal,R.A. 1294/2015,19/5/2015,.,ECIA. USPHA - USPHA,Abierta,.
