DISTRITO,CÓDIGO,NOMBRE,EDUCACIÓN,DEPENDENCIA,RESOLUCIÓN,FECHA DE RESOLUCIÓN,ZONA,DIRECCIÓN,ESTADO,https://sigee.sie.gob.bo/#
COCHABAMBA 2,80980503,HNA. TERESA DE CALCUTA,Regular,Privada,0044/2001,22/1/2001,SUD,MARIO COCA ESQUINA TOMAS GAMBOA Nº 4287,Abierta,.
COCHABAMBA 2,80980653,LA CASA DE ELSITA,Regular,Privada,R.A. 2916/2021,12/11/2021,SUD,VILLA PAGADOR  CALLE TOMAS BARRÓN  NRO 8953,Abierta,.
COCHABAMBA 2,80980004,CANATA INICIAL,Regular,Fiscal,2862/2000,17/7/2000,SUD,AV. 6 DE AGOSTO,Abierta,.
COCHABAMBA 2,80980425,EL MOLINO,Regular,Privada,R.A. 1936/2020,28/12/2020,SUD,AV. PETROLERA KM. 4 1/2,Abierta,.
COCHABAMBA 2,80980187,SANTA CRUZ,Regular,Fiscal,R.A. 2391/2009,16/10/2009,SUD,MAIRANA ENTRE ÑUFLO DE CHAVEZ,Abierta,.
COCHABAMBA 2,80980186,VILLA SANTA CRUZ,Regular,Fiscal,R.A. 2482/2010,29/10/2010,SUD,MAIRANA ENTRE ÑUFLO DE CHAVEZ,Cerrada,.
COCHABAMBA 2,80980421,RAFAEL PABON CUEVAS,Regular,Privada,005/02,7/1/2002,SUD,FINAL AVENIDA DE LA FUERZA AEREA,Abierta,.
COCHABAMBA 2,80980185,EDUARDO OCAMPO MOSCOSO,Regular,Fiscal,R.A. 2823/2013,29/10/2013,SUD,MAIRANA ENTRE ÑUFLO DE CHAVEZ,Abierta,.
COCHABAMBA 2,80980534,NAPOLEON MALDONADO VERA,Regular,Fiscal,R.A. 2213/2008,6/11/2008,SUD,TRAFALGAR,Abierta,.
COCHABAMBA 2,80980693,TUPAC KATARI OTB FORTALEZA D.9,Regular,Fiscal,R.A. 128/2024,10/1/2024,SUD,OTB FORTALEZA EL PARAISO,Abierta,.
COCHABAMBA 2,80980585,SANTO DOMINGO SAVIO C,Alternativa y Especial,Convenio,R.A. 6245/2024,31/12/2024,SUD,ZONA SUR PASAJE MANUEL VIA S/N,Abierta,.
COCHABAMBA 2,80980626,VILLA SANTA CRUZ A,Alternativa y Especial,Fiscal,R.A. 4336/2023,21/9/2023,SUD,MAIRANA ENTRE ÑUFLO DE CHAVEZ,Abierta,.
COCHABAMBA 1,80980092,LA SALLE C,Regular,Convenio,R.A. 01015/2009,28/5/2009,SUD,MAMA OCLLO Y COMUNEROS Nro 1046,Abierta,.
COCHABAMBA 1,80980601,LA SALLE E,Regular,Convenio,R.A. 0427/2018,19/2/2018,SUD,MAMA OCLLO Y COMUNEROS Nro 1046,Abierta,.
COCHABAMBA 1,80980090,LA SALLE A,Regular,Convenio,R.A. 01016/2009,28/5/2009,SUD,MAMA OCLLO Y COMUNEROS Nro 1046,Abierta,.
COCHABAMBA 1,80980093,LA SALLE D,Regular,Convenio,R.A. 01026/2009,29/5/2009,SUD,MAMA OCLLO Y COMUNEROS Nro 1046,Abierta,.
COCHABAMBA 1,80980091,LA SALLE B,Regular,Convenio,R.A. 01014/2009,28/5/2009,SUD,MAMA OCLLO Y COMUNEROS Nro 1046,Cerrada,.
COCHABAMBA 1,80980340,PIO XII,Regular,Privada,R.A. 0694/2017,21/3/2017,SUD,CALLE PUNATA Nro 361,Abierta,.
COCHABAMBA 2,80980589,MICAELA BASTIDAS,Regular,Fiscal,R.A. 2956/2015,23/9/2015,SUD BARRIO PRIMERO DE MAYO,.,Abierta,.
COCHABAMBA 2,80980537,EL MIRADOR,Regular,Fiscal,R.M. 2084/2008,23/12/2008,SUD BARRIO PRIMERO DE MAYO,.,Abierta,.
COCHABAMBA 2,80980522,BOLIVIANO HOLANDES,Regular,Fiscal,2954/2006,16/11/2006,SUD CANTON ITOCTA,ZONA SUD VILLA ISRAEL,Abierta,.
COCHABAMBA 2,80980525,21 DE SEPTIEMBRE,Regular,Fiscal,0562/2008,14/3/2008,SUD CANTON ITOCTA,ZONA SUD VILLA 21 DE SEPTIEMBRE,Abierta,.
COCHABAMBA 2,80980258,ISRAEL,Regular,Fiscal,0164/95,29/6/1995,SUD CANTON ITOCTA,ZONA SUD VILLA ISRAEL,Abierta,.
COCHABAMBA 2,80980592,PACHA,Regular,Fiscal,R.A. 3304/2016,21/11/2016,SUD CANTON ITOCTA,ZONA SUD VILLA ISRAEL,Abierta,.
